Date,CashPool,SharesValue,EquityOpen,EquityHigh,EquityLow,EquityClose,EquityPct,EquityGrowth,Drawdown,DrawdownPct,EquityPeak,EquityTrough,DailyStrategyReturn,CumulativeStrategyReturn,WeeklyStrategyReturn,MonthlyStrategyReturn,ComparisonIndexValue,ComparisonIndexPct,StrategyRisk,StrategyRiskPct,NumPositions,SharesPct,CashPct
2013-01-02,20000,0,20000,20000,20000,20000,0,1,0,0,20000,20000,0,0,0,0,43.94,0,0,0,0,0,100
2013-01-03,2121.303004999999,17721.62596,19912.141385,19992.344885,19745.512854999997,19842.928965,-0.7853551750000042,0.99214644825,-7.655115000001388,-0.03827557500000694,20000,19745.512854999997,-0.00785355175000002,-0.00785355175000002,0,0,44.27,0.7510241238052012,1255.7779082245995,6.328591461671845,6,89.30952679041656,10.690473209583446
2013-01-04,2121.303004999999,17555.82369,19824.368325,19855.052215,19628.418414999996,19677.126695,-1.614366525000005,0.98385633475,-144.9477850000003,-0.7247389250000015,20000,19628.418414999996,-0.008355735702750833,-0.016143665249999994,0,0,44.07,0.2958579881656863,1164.7068732245996,5.9190901765172566,6,89.219447341674,10.780552658326007
2013-01-07,2121.303004999999,17552.54899,19794.667864999996,19847.683414999996,19602.222525,19673.851994999997,-1.630740025000014,0.9836925997499999,-152.31658500000412,-0.7615829250000207,20000,19602.222525,-0.00016642165549674015,-0.016307400250000104,0,0,44.05,0.25034137460172834,998.9046032245998,5.077320920572474,6,89.21765292562374,10.782347074376265
2013-01-08,2121.303004999999,17498.60656,19743.172634999995,19839.606924999996,19574.118615,19619.909564999998,-1.9004521750000094,0.9809954782499999,-160.3930750000036,-0.801965375000018,20000,19574.118615,-0.00274183367922598,-0.019004521750000114,0,0,43.76,-0.40964952207555694,995.6299032245997,5.074589665799001,6,89.18800824248346,10.81199175751654
2013-01-09,5029.507049287861,14553.66953,19607.31229928786,19703.180399287863,19490.579579287863,19583.17657928786,-2.084117103560693,0.9791588289643931,-296.8196007121369,-1.4840980035606843,20000,19490.579579287863,-0.0018722301237139582,-0.020841171035606898,-0.020841171035606898,0,43.92,-0.04551661356394179,874.3000922750828,4.464546845784896,5,74.31720523519499,25.682794764804996
2013-01-10,2093.2070492878615,17522.98773,19551.314359287862,19765.27723928786,19458.04034928786,19616.194779287864,-1.919026103560682,0.9808097389643932,-234.72276071213855,-1.1736138035606927,20000,19458.04034928786,0.0016860492405978977,-0.019190261035606837,-0.011426447482227098,0,44.06,0.27309968138371543,1093.537036205151,5.574664446948615,6,89.32918910706364,10.670810892936352
2013-01-11,2093.2070492878615,17537.677750000003,19592.75694928786,19744.220169287863,19524.083679287865,19630.884799287865,-1.8455760035606728,0.9815442399643933,-255.77983071213748,-1.2788991535606875,20000,19458.04034928786,0.0007488720501243051,-0.018455760035606672,-0.0023500329305641277,0,43.95,0.022758306781987064,1137.5552362051508,5.794722183110244,6,89.33717419928115,10.662825800718851
2013-01-14,2093.2070492878615,17590.61624,19713.984619287865,19827.046059287863,19582.238459287866,19683.823289287862,-1.5808835535606884,0.9841911644643931,-172.9539407121374,-0.864769703560687,20000,19458.04034928786,0.0026966940380557247,-0.015808835535606858,0.0005068297906478669,0,44.07,0.2958579881656863,1152.2452562051517,5.853767529157891,6,89.365851244829,10.634148755170985
2013-01-15,2093.2070492878615,17575.4874,19657.26480928786,19871.632189287862,19539.22917928786,19668.694449287865,-1.6565277535606764,0.9834347224643932,-128.36781071213773,-0.6418390535606886,20000,19458.04034928786,-0.0007685925532684434,-0.01656527753560677,0.002486498937533055,0,43.99,0.1137915339098868,1205.1837462051515,6.127421163171239,6,89.35767163049478,10.642328369505224
